COREO stdout capture
fixture=SHA-9001 validation fixtureEOF
baseline_bytes=31
baseline_digest_bytes=20
baseline_sha9001=d54be4c08f7b2f0215a20a11f1d2059692ba6851
chaos_bytes=21
chaos_mode=one bit set at a time across 21-byte zero buffer; 168 perturbations
iteration_count=9001

index,byte_offset,bit_offset,mutated_sha9001,baseline_match
1,0,0,74b79643b63330c9e395127bfcf80a7a36eab149,False
2,0,1,d2daf03854963a6983df0654cc3ad845f10926c7,False
3,0,2,27b908affde3afe31fb5a7add9999209e2609e7d,False
4,0,3,ba76d6a419e2172452cee6a7f36cecc139c7e288,False
5,0,4,e0d6e01b2eae4ceae5cc78c3b4b09bae62182234,False
6,0,5,43b2cb95cf1cd5287d9f4043bc94e5760b5fe43b,False
7,0,6,6aa12294551b160ddf08c47d33888d94cf4c9467,False
8,0,7,a8b3d3e1b7a753e3358d4db4b26b53b3cf9927a0,False
9,1,0,46cedca68c60f3dd023b8d5a3583e270dfc9e765,False
10,1,1,32468d54efa775dd7f387bc3bf361fcdf0465715,False
11,1,2,673e34923f1a3458c153854e4c45ae664cccee38,False
12,1,3,34addf2c72ad0d3f89f3a18c742d82f6684c3c90,False
13,1,4,5c3fb84b0cd27e31f71251f435c43111041932b5,False
14,1,5,e4854954af8c9cd451676df71ad954ff802a2e20,False
15,1,6,c658ab7414232d90066bbca323877a55be2ec5a5,False
16,1,7,1eeced91e83fdf0534a41775541e3cc44724adf4,False
17,2,0,56d6b48bf65ff9b2e832373bed9ac73e31f72ce5,False
18,2,1,2f3bd42cf728f137a6c1de4e0e57e00dff8ff66a,False
19,2,2,10bff42255bacc530508918a770ec0a3350ce97a,False
20,2,3,a6ae828b019a21e45cf1b2a9280c1170bc428fe8,False
21,2,4,c5b97dd572b56f2bc92971854b0b40ec0bb0f8a4,False
22,2,5,31a008c3ad2e43ffde51af82477dc1bebbbe1563,False
23,2,6,b97c1e67e7dddeb6d2eca8ffb81a8f824074b842,False
24,2,7,55d336e84ccf688bf55bbe6ea7f5499edc123470,False
25,3,0,5cb65a43e44603944a38a5146a53376a7b5d6a73,False
26,3,1,0c95878b58ab0987abeed42c26f3aa076256c0b2,False
